"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12916","Validate when there is no recent search, then the popular search should display.","Mason Shoemall","Mon Dec 02 13:20:05 UTC 2024","passed","Mon Dec 02 13:20:18 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","22381","Validate Filters in L3 when clicked on the hyperlink","Mason Shoemall","Mon Dec 02 13:14:48 UTC 2024","passed","Mon Dec 02 13:15:10 UTC 2024","Mason PLP Scenarios","mason_plp.spec.js","",""
"","6620","Account - Create Account - Validate the fields of Create Account Page for Guest Users","Mason Shoemall","Mon Dec 02 13:13:29 UTC 2024","passed","Mon Dec 02 13:13:35 UTC 2024","Mason Create Account Scenarios","mason_createAccount.auth.spec.js","",""
"","8118","Account - Create Account - Validate the Password Criteria in Create Account Page for Guest Users","Mason Shoemall","Mon Dec 02 13:13:43 UTC 2024","passed","Mon Dec 02 13:13:51 UTC 2024","Mason Create Account Scenarios","mason_createAccount.auth.spec.js","",""
"","9227","Verify the 10 autocomplete suggestions for the search terms are displayed as selectable text links","Mason Shoemall","Mon Dec 02 13:21:11 UTC 2024","passed","Mon Dec 02 13:21:21 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","7045","Account - Sign In (Drawer)/Sign In Page - Validate the Account Drawer for Guest User","Mason Shoemall","Mon Dec 02 13:14:23 UTC 2024","passed","Mon Dec 02 13:14:30 UTC 2024","Mason Create Account Scenarios","mason_createAccount.auth.spec.js","",""
"","7444","Account - Create Account - Validate the default check of Email Update checkbox in Create Account Page for Guest Users","Mason Shoemall","Mon Dec 02 13:13:51 UTC 2024","passed","Mon Dec 02 13:13:59 UTC 2024","Mason Create Account Scenarios","mason_createAccount.auth.spec.js","",""
"","8709","Validate Home -> Brand breadcrumbs are shown in BIP","Mason Shoemall","Mon Dec 02 13:08:48 UTC 2024","passed","Mon Dec 02 13:08:57 UTC 2024","Mason Commerce Tool Site","mason_bip.auth.spec.js","",""
"","25262","Validate Product Variant Option and SizeChart link in Add to Cart drawer in PLP","Mason Shoemall","Mon Dec 02 13:15:18 UTC 2024","passed","Mon Dec 02 13:15:43 UTC 2024","Mason PLP Scenarios","mason_plp.spec.js","",""
"","15761","Account - Create Account - Validate the account Creation in Create Account Page for Guest Users","Mason Shoemall","Mon Dec 02 13:14:07 UTC 2024","passed","Mon Dec 02 13:14:23 UTC 2024","Mason Create Account Scenarios","mason_createAccount.auth.spec.js","",""
"","8200","Account - Create Account - Validate the mandatory Fields in Create Account Page for Guest Users","Mason Shoemall","Mon Dec 02 13:13:59 UTC 2024","passed","Mon Dec 02 13:14:07 UTC 2024","Mason Create Account Scenarios","mason_createAccount.auth.spec.js","",""
"","24447","Validate Page Title and search tip when the searched item/product is a valid search","Mason Shoemall","Mon Dec 02 13:19:32 UTC 2024","passed","Mon Dec 02 13:19:57 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","76304","Guest user placing an order with Paypal","Mason Shoemall","Mon Dec 02 13:10:26 UTC 2024","passed","Mon Dec 02 13:11:42 UTC 2024","Mason Checkout - Guest and LoggedIn Users - Scenarios > Mason Checkout - Guest user placing an order with Paypal - Scenarios","mason_CheckoutScenarios.auth.spec.js","",""
"","26568","Validate navigation to BLP from BIP and ensure breadcrumbs are shown in BLP","Mason Shoemall","Mon Dec 02 13:09:10 UTC 2024","passed","Mon Dec 02 13:09:37 UTC 2024","Mason BLP Page","mason_blp.auth.spec.js","",""
"","8347","Validate NeedHelp when the searched item/product is not a valid search","Mason Shoemall","Mon Dec 02 13:18:54 UTC 2024","passed","Mon Dec 02 13:19:02 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","61326","Guest user with cc- promo code","Mason Shoemall","Mon Dec 02 13:09:25 UTC 2024","passed","Mon Dec 02 13:10:26 UTC 2024","Mason Checkout - Guest and LoggedIn Users - Scenarios > Mason Checkout - Guest user with cc- promo code - Scenarios","mason_CheckoutScenarios.auth.spec.js","",""
"","65045","Guest user placing an order with a credit card","Mason Shoemall","Mon Dec 02 13:13:08 UTC 2024","passed","Mon Dec 02 13:14:13 UTC 2024","Mason Checkout - Guest and LoggedIn Users - Scenarios > Mason Checkout - Guest user placing an order with a credit card - Scenarios","mason_CheckoutScenarios.auth.spec.js","",""
"","12987","Account - Create Account - Validate the User is redirected to Account Dashboard after account creation from Create Account Page","Mason Shoemall","Mon Dec 02 13:14:15 UTC 2024","passed","Mon Dec 02 13:14:28 UTC 2024","Mason Create Account Scenarios","mason_createAccount.auth.spec.js","",""
"","8833","Verify the the user gets error messages on entering invalid inputs","Mason Shoemall","Mon Dec 02 13:21:13 UTC 2024","passed","Mon Dec 02 13:21:22 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","8443","Validate the full-width banner present below the page title which supports images and videos","Mason Shoemall","Mon Dec 02 13:08:48 UTC 2024","passed","Mon Dec 02 13:08:57 UTC 2024","Mason Commerce Tool Site","mason_bip.auth.spec.js","",""
"","32241","Validate the display and functionality of products, including default product image, color variants, name, pricing, reviews, and add to cart CTA","Mason Shoemall","Mon Dec 02 13:16:07 UTC 2024","passed","Mon Dec 02 13:16:39 UTC 2024","Mason PLP Scenarios","mason_plp.spec.js","",""
"","9176","Verify the 10 most popular search terms are displayed as selectable text links","Mason Shoemall","Mon Dec 02 13:21:04 UTC 2024","passed","Mon Dec 02 13:21:13 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","23506","Validate the clicking of product from the recent searches","Mason Shoemall","Mon Dec 02 13:20:40 UTC 2024","passed","Mon Dec 02 13:21:04 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","11899","Validate FAQ navigation-NeedHelp when the searched item/product is not a valid search","Mason Shoemall","Mon Dec 02 13:19:20 UTC 2024","passed","Mon Dec 02 13:19:32 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","27417","Validate navigation to BLP from Top Brands in homepage and breadcrumbs are shown in BLP","Mason Shoemall","Mon Dec 02 13:08:57 UTC 2024","passed","Mon Dec 02 13:09:24 UTC 2024","Mason BLP Page","mason_blp.auth.spec.js","",""
"","29398","Validate Item count when the searched item/product is a valid search","Mason Shoemall","Mon Dec 02 13:20:05 UTC 2024","passed","Mon Dec 02 13:20:34 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
